ponderada;mensual
ene-21;
15,05;1,44
1,70;0,20
3,98;-0,41
33,12;0,13
4,19;0,26
1,71;0,26
12,93;0,70
4,33;-0,16
3,79;-0,82
4,41;0,00
9,43;0,65
5,36;0,37
feb-21;
15,05;0,46
1,70;0,31
3,98;1,82
33,12;0,28
4,19;0,96
1,71;0,59
12,93;0,62
4,33;-0,09
3,79;0,82
4,41;3,56
9,43;0,69
5,36;0,62
mar-21;
15,05;1,14
1,70;0,46
3,98;0,46
33,12;0,69
4,19;0,30
1,71;0,31
12,93;0,43
4,33;-0,85
3,79;-0,53
4,41;0,24
9,43;0,40
5,36;0,13
abr-21;
15,05;2,09
1,70;0,51
3,98;-0,37
33,12;0,43
4,19;0,37
1,71;0,42
12,93;0,38
4,33;-1,13
3,79;0,07
4,41;0,86
9,43;0,37
5,36;0,35
may-21;
15,05;5,37
1,70;0,22
3,98;0,08
33,12;0,24
4,19;0,32
1,71;0,27
12,93;0,33
4,33;-3,17
3,79;0,18
4,41;0,06
9,43;0,86
5,36;0,24
jun-21;
15,05;-1,02
1,70;0,24
3,98;0,02
33,12;0,06
4,19;0,35
1,71;0,23
12,93;0,10
4,33;-0,27
3,79;0,05
4,41;0,00
9,43;0,68
5,36;0,27
jul-21;
15,05;0,38
1,70;0,27
3,98;0,18
33,12;0,31
4,19;0,23
1,71;0,27
12,93;0,23
4,33;-0,11
3,79;0,38
4,41;0,00
9,43;0,80
5,36;0,31
ago-21;
15,05;1,08
1,70;0,22
3,98;0,07
33,12;0,19
4,19;0,30
1,71;0,25
12,93;0,34
4,33;-0,18
3,79;0,19
4,41;0,62
9,43;0,99
5,36;0,29
sept-21;
15,05;0,76
1,70;0,41
3,98;0,08
33,12;0,40
4,19;0,38
1,71;0,48
12,93;0,59
4,33;0,08
3,79;0,77
4,41;-2,30
9,43;0,55
5,36;0,48
oct-21;
15,05;0,89
1,70;0,46
3,98;-3,45
33,12;0,29
4,19;0,29
1,71;0,50
12,93;0,50
4,33;-6,79
3,79;-0,21
4,41;-0,07
9,43;0,53
5,36;0,29
nov-21;
15,05;1,45
1,70;0,44
3,98;-0,63
33,12;0,28
4,19;0,28
1,71;0,29
12,93;0,47
4,33;0,09
3,79;-0,50
4,41;0,00
9,43;0,93
5,36;0,31
dic-21;
15,05;2,08
1,70;0,78
3,98;-0,41
33,12;0,32
4,19;0,23
1,71;0,03
12,93;0,86
4,33;-0,01
3,79;0,65
4,41;-0,15
9,43;1,04
5,36;0,44
