ene-22;
15,05;3,79
1,70;0,72
3,98;4,03
33,12;0,46
4,19;2,93
1,71;0,93
12,93;1,85
4,33;0,13
3,79;0,58
4,41;0,00
9,43;2,40
5,36;1,29
feb-22;
15,05;3,26
1,70;0,77
3,98;1,23
33,12;0,71
4,19;2,60
1,71;1,18
12,93;1,13
4,33;0,04
3,79;0,83
4,41;4,48
9,43;2,22
5,36;1,26
mar-22;
15,05;2,84
1,70;0,86
3,98;-1,78
33,12;0,58
4,19;1,83
1,71;0,97
12,93;0,37
4,33;-0,19
3,79;0,01
4,41;0,30
9,43;1,42
5,36;1,00
abr-22;
15,05;2,75
1,70;0,68
3,98;2,99
33,12;0,82
4,19;1,49
1,71;0,87
12,93;0,66
4,33;0,13
3,79;1,18
4,41;0,01
9,43;1,09
5,36;0,96
may-22;
15,05;1,56
1,70;0,66
3,98;0,55
33,12;0,83
4,19;0,82
1,71;0,61
12,93;0,27
4,33;-0,05
3,79;0,38
4,41;0,18
9,43;1,18
5,36;0,88
jun-22;
15,05;0,65
1,70;0,38
3,98;-2,64
33,12;0,54
4,19;0,96
1,71;0,44
12,93;0,76
4,33;-0,24
3,79;0,61
4,41;0,00
9,43;1,06
5,36;0,61
jul-22;
15,05;1,17
1,70;0,23
3,98;3,60
33,12;0,56
4,19;0,75
1,71;0,88
12,93;0,96
4,33;0,09
3,79;0,31
4,41;0,00
9,43;0,83
5,36;0,53
ago-22;
15,05;1,85
1,70;0,27
3,98;0,45
33,12;0,76
4,19;1,33
1,71;0,74
12,93;0,68
4,33;0,08
3,79;0,60
4,41;0,17
9,43;1,45
5,36;1,54
sept-22;
15,05;1,61
1,70;0,46
3,98;1,33
33,12;0,57
4,19;1,65
1,71;0,51
12,93;0,69
4,33;0,09
3,79;0,69
4,41;0,80
9,43;1,03
5,36;1,21
oct-22;
15,05;1,21
1,70;0,56
3,98;0,23
33,12;0,40
4,19;0,77
1,71;0,70
12,93;1,09
4,33;0,05
3,79;0,89
4,41;-0,02
9,43;0,77
5,36;0,90
nov-22;
15,05;1,50
1,70;1,05
3,98;0,32
33,12;0,11
4,19;0,78
1,71;0,61
12,93;1,35
4,33;0,05
3,79;0,96
4,41;0,00
9,43;1,18
5,36;0,96
dic-22;
15,05;2,66
1,70;1,43
3,98;0,60
33,12;0,39
4,19;1,02
1,71;0,72
12,93;1,22
4,33;0,06
3,79;1,02
4,41;0,00
9,43;2,51
5,36;1,23
