ponderada;mensual
ene-19;
15,05;1,40
1,70;0,49
3,98;-0,16
33,12;0,25
4,19;0,46
1,71;0,37
12,93;0,37
4,33;1,44
3,79;0,47
4,41;0,00
9,43;1,15
5,36;0,78
feb-19;
15,05;0,23
1,70;1,05
3,98;0,08
33,12;0,27
4,19;0,39
1,71;-0,02
12,93;0,78
4,33;-0,12
3,79;0,53
4,41;4,48
9,43;0,75
5,36;0,57
mar-19;
15,05;0,95
1,70;0,94
3,98;-0,02
33,12;0,67
4,19;0,37
1,71;0,15
12,93;0,38
4,33;-0,13
3,79;-0,50
4,41;0,03
9,43;-0,03
5,36;0,27
abr-19;
15,05;1,07
1,70;0,81
3,98;0,07
33,12;0,47
4,19;0,46
1,71;0,31
12,93;0,23
4,33;0,72
3,79;0,33
4,41;0,09
9,43;0,47
5,36;0,30
may-19;
15,05;0,65
1,70;0,79
3,98;0,29
33,12;0,43
4,19;0,32
1,71;0,25
12,93;0,01
4,33;-0,06
3,79;0,19
4,41;0,05
9,43;0,18
5,36;0,12
jun-19;
15,05;0,85
1,70;0,25
3,98;0,09
33,12;0,08
4,19;0,21
1,71;0,29
12,93;0,45
4,33;-0,12
3,79;0,53
4,41;0,00
9,43;0,10
5,36;0,13
jul-19;
15,05;0,66
1,70;-0,01
3,98;-0,23
33,12;0,17
4,19;0,05
1,71;0,15
12,93;0,28
4,33;0,33
3,79;0,51
4,41;0,00
9,43;-0,05
5,36;0,01
ago-19;
15,05;-0,13
1,70;-0,08
3,98;0,22
33,12;0,16
4,19;0,04
1,71;0,30
12,93;0,10
4,33;-0,18
3,79;-0,26
4,41;0,11
9,43;0,32
5,36;0,16
sept-19;
15,05;0,46
1,70;-0,17
3,98;0,13
33,12;0,21
4,19;0,07
1,71;0,28
12,93;0,05
4,33;-0,02
3,79;-0,43
4,41;0,90
9,43;0,33
5,36;0,32
oct-19;
15,05;0,25
1,70;0,29
3,98;0,04
33,12;0,19
4,19;-0,05
1,71;0,34
12,93;0,14
4,33;-0,06
3,79;0,47
4,41;0,03
9,43;0,11
5,36;0,04
nov-19;
15,05;-0,47
1,70;0,44
3,98;0,11
33,12;0,30
4,19;0,11
1,71;0,21
12,93;0,10
4,33;-0,06
3,79;0,39
4,41;0,00
9,43;0,32
5,36;0,07
dic-19;
15,05;-0,25
1,70;0,54
3,98;0,07
33,12;0,21
4,19;0,09
1,71;0,17
12,93;0,48
4,33;0,96
3,79;1,41
4,41;0,00
9,43;0,50
5,36;0,16
ene-20;
15,05;0,76
1,70;0,41
3,98;0,22
33,12;0,05
4,19;0,51
1,71;0,59
12,93;0,70
4,33;0,39
3,79;0,49
4,41;0,00
9,43;0,87
5,36;0,70
feb-20;
15,05;0,93
1,70;0,51
3,98;0,31
33,12;0,47
4,19;0,35
1,71;0,65
12,93;0,28
4,33;-0,10
3,79;0,24
4,41;4,78
9,43;0,54
5,36;0,37
mar-20;
15,05;2,21
1,70;0,23
3,98;0,05
33,12;0,55
4,19;0,30
1,71;0,49
12,93;-0,07
4,33;0,02
3,79;-0,37
4,41;0,03
9,43;0,16
5,36;0,42
abr-20;
15,05;2,04
1,70;0,12
3,98;-0,39
33,12;0,15
4,19;0,07
1,71;0,51
12,93;-0,89
4,33;-2,97
3,79;0,03
4,41;0,01
9,43;0,16
5,36;0,22
may-20;
15,05;0,04
1,70;0,28
3,98;-0,28
33,12;-0,20
4,19;-1,69
1,71;0,43
12,93;-0,47
4,33;-3,12
3,79;0,04
4,41;0,04
9,43;-0,03
5,36;-0,11
jun-20;
15,05;-0,11
1,70;0,21
3,98;-2,06
33,12;-0,53
4,19;-0,58
1,71;0,33
12,93;-0,53
4,33;-0,06
3,79;-0,16
4,41;0,00
9,43;-0,04
5,36;-0,23
jul-20;
15,05;-0,80
1,70;0,14
3,98;-0,09
33,12;0,16
4,19;0,00
1,71;0,56
12,93;0,25
4,33;-0,02
3,79;0,05
4,41;0,00
9,43;0,27
5,36;0,22
ago-20;
15,05;-0,45
1,70;0,32
3,98;-1,00
33,12;0,07
4,19;-0,05
1,71;0,70
12,93;0,27
4,33;3,60
3,79;0,17
4,41;-3,48
9,43;0,18
5,36;0,49
sept-20;
15,05;-0,04
1,70;0,15
3,98;0,26
33,12;0,51
4,19;0,11
1,71;0,28
12,93;0,83
4,33;2,55
3,79;-0,02
4,41;-2,77
9,43;0,28
5,36;0,39
oct-20;
15,05;-0,32
1,70;0,12
3,98;-0,13
33,12;-0,06
4,19;0,04
1,71;0,07
12,93;0,90
4,33;-0,13
3,79;0,06
4,41;-2,48
9,43;0,23
5,36;-0,21
nov-20;
15,05;0,06
1,70;0,16
3,98;-3,71
33,12;0,11
4,19;-0,31
1,71;0,13
12,93;-0,03
4,33;-0,46
3,79;-0,52
4,41;-1,03
9,43;0,28
5,36;0,16
dic-20;
15,05;0,43
1,70;-0,05
3,98;2,95
33,12;0,52
4,19;0,31
1,71;0,12
12,93;0,12
4,33;0,38
3,79;0,69
4,41;-2,11
9,43;0,49
5,36;0,07
ene-21;
15,05;1,44
1,70;0,20
3,98;-0,41
33,12;0,13
4,19;0,26
1,71;0,26
12,93;0,70
4,33;-0,16
3,79;-0,82
4,41;0,00
9,43;0,65
5,36;0,37
feb-21;
15,05;0,46
1,70;0,31
3,98;1,82
33,12;0,28
4,19;0,96
1,71;0,59
12,93;0,62
4,33;-0,09
3,79;0,82
4,41;3,56
9,43;0,69
5,36;0,62
mar-21;
15,05;1,14
1,70;0,46
3,98;0,46
33,12;0,69
4,19;0,30
1,71;0,31
12,93;0,43
4,33;-0,85
3,79;-0,53
4,41;0,24
9,43;0,40
5,36;0,13
abr-21;
15,05;2,09
1,70;0,51
3,98;-0,37
33,12;0,43
4,19;0,37
1,71;0,42
12,93;0,38
4,33;-1,13
3,79;0,07
4,41;0,86
9,43;0,37
5,36;0,35
may-21;
15,05;5,37
1,70;0,22
3,98;0,08
33,12;0,24
4,19;0,32
1,71;0,27
12,93;0,33
4,33;-3,17
3,79;0,18
4,41;0,06
9,43;0,86
5,36;0,24
jun-21;
15,05;-1,02
1,70;0,24
3,98;0,02
33,12;0,06
4,19;0,35
1,71;0,23
12,93;0,10
4,33;-0,27
3,79;0,05
4,41;0,00
9,43;0,68
5,36;0,27
jul-21;
15,05;0,38
1,70;0,27
3,98;0,18
33,12;0,31
4,19;0,23
1,71;0,27
12,93;0,23
4,33;-0,11
3,79;0,38
4,41;0,00
9,43;0,80
5,36;0,31
ago-21;
15,05;1,08
1,70;0,22
3,98;0,07
33,12;0,19
4,19;0,30
1,71;0,25
12,93;0,34
4,33;-0,18
3,79;0,19
4,41;0,62
9,43;0,99
5,36;0,29
sept-21;
15,05;0,76
1,70;0,41
3,98;0,08
33,12;0,40
4,19;0,38
1,71;0,48
12,93;0,59
4,33;0,08
3,79;0,77
4,41;-2,30
9,43;0,55
5,36;0,48
oct-21;
15,05;0,89
1,70;0,46
3,98;-3,45
33,12;0,29
4,19;0,29
1,71;0,50
12,93;0,50
4,33;-6,79
3,79;-0,21
4,41;-0,07
9,43;0,53
5,36;0,29
nov-21;
15,05;1,45
1,70;0,44
3,98;-0,63
33,12;0,28
4,19;0,28
1,71;0,29
12,93;0,47
4,33;0,09
3,79;-0,50
4,41;0,00
9,43;0,93
5,36;0,31
dic-21;
15,05;2,08
1,70;0,78
3,98;-0,41
33,12;0,32
4,19;0,23
1,71;0,03
12,93;0,86
4,33;-0,01
3,79;0,65
4,41;-0,15
9,43;1,04
5,36;0,44
ene-22;
15,05;3,79
1,70;0,72
3,98;4,03
33,12;0,46
4,19;2,93
1,71;0,93
12,93;1,85
4,33;0,13
3,79;0,58
4,41;0,00
9,43;2,40
5,36;1,29
feb-22;
15,05;3,26
1,70;0,77
3,98;1,23
33,12;0,71
4,19;2,60
1,71;1,18
12,93;1,13
4,33;0,04
3,79;0,83
4,41;4,48
9,43;2,22
5,36;1,26
mar-22;
15,05;2,84
1,70;0,86
3,98;-1,78
33,12;0,58
4,19;1,83
1,71;0,97
12,93;0,37
4,33;-0,19
3,79;0,01
4,41;0,30
9,43;1,42
5,36;1,00
abr-22;
15,05;2,75
1,70;0,68
3,98;2,99
33,12;0,82
4,19;1,49
1,71;0,87
12,93;0,66
4,33;0,13
3,79;1,18
4,41;0,01
9,43;1,09
5,36;0,96
may-22;
15,05;1,56
1,70;0,66
3,98;0,55
33,12;0,83
4,19;0,82
1,71;0,61
12,93;0,27
4,33;-0,05
3,79;0,38
4,41;0,18
9,43;1,18
5,36;0,88
jun-22;
15,05;0,65
1,70;0,38
3,98;-2,64
33,12;0,54
4,19;0,96
1,71;0,44
12,93;0,76
4,33;-0,24
3,79;0,61
4,41;0,00
9,43;1,06
5,36;0,61
jul-22;
15,05;1,17
1,70;0,23
3,98;3,60
33,12;0,56
4,19;0,75
1,71;0,88
12,93;0,96
4,33;0,09
3,79;0,31
4,41;0,00
9,43;0,83
5,36;0,53
ago-22;
15,05;1,85
1,70;0,27
3,98;0,45
33,12;0,76
4,19;1,33
1,71;0,74
12,93;0,68
4,33;0,08
3,79;0,60
4,41;0,17
9,43;1,45
5,36;1,54
sept-22;
15,05;1,61
1,70;0,46
3,98;1,33
33,12;0,57
4,19;1,65
1,71;0,51
12,93;0,69
4,33;0,09
3,79;0,69
4,41;0,80
9,43;1,03
5,36;1,21
oct-22;
15,05;1,21
1,70;0,56
3,98;0,23
33,12;0,40
4,19;0,77
1,71;0,70
12,93;1,09
4,33;0,05
3,79;0,89
4,41;-0,02
9,43;0,77
5,36;0,90
nov-22;
15,05;1,50
1,70;1,05
3,98;0,32
33,12;0,11
4,19;0,78
1,71;0,61
12,93;1,35
4,33;0,05
3,79;0,96
4,41;0,00
9,43;1,18
5,36;0,96
dic-22;
15,05;2,66
1,70;1,43
3,98;0,60
33,12;0,39
4,19;1,02
1,71;0,72
12,93;1,22
4,33;0,06
3,79;1,02
4,41;0,00
9,43;2,51
5,36;1,23
ene-23;
15,05;2,46
1,70;1,47
3,98;0,40
33,12;0,49
4,19;2,29
1,71;1,63
12,93;3,98
4,33;0,08
3,79;1,48
4,41;0,00
9,43;3,11
5,36;1,92
feb-23;
15,05;1,60
1,70;1,29
3,98;0,93
33,12;0,95
4,19;2,04
1,71;1,26
12,93;1,99
4,33;-0,07
3,79;1,19
4,41;8,50
9,43;1,71
5,36;1,97
mar-23;
15,05;0,91
1,70;1,31
3,98;0,73
33,12;1,01
4,19;1,47
1,71;1,41
12,93;1,37
4,33;0,04
3,79;0,66
4,41;0,23
9,43;1,34
5,36;1,62
abr-23;
15,05;-0,07
1,70;1,43
3,98;0,56
33,12;1,15
4,19;1,05
1,71;1,04
12,93;1,28
4,33;0,03
3,79;0,44
4,41;0,11
9,43;1,04
5,36;0,90
may-23;
15,05;-0,85
1,70;1,15
3,98;0,60
33,12;0,92
4,19;0,44
1,71;0,85
12,93;1,19
4,33;0,05
3,79;0,02
4,41;0,02
9,43;0,68
5,36;0,37
jun-23;
15,05;-0,53
1,70;0,48
3,98;0,36
33,12;0,48
4,19;0,16
1,71;0,39
12,93;1,08
4,33;0,04
3,79;0,09
4,41;0,01
9,43;0,56
5,36;0,35
jul-23;
15,05;0,22
1,70;0,46
3,98;0,46
33,12;0,62
4,19;0,22
1,71;0,54
12,93;1,07
4,33;-0,02
3,79;0,33
4,41;0,01
9,43;0,68
5,36;0,07
ago-23;
15,05;1,13
1,70;1,14
3,98;0,26
33,12;0,61
4,19;0,27
1,71;0,28
